开始时间,结束时间,粒度,云环境,主机ID,主机名称,主机CPU使用率(%),主机磁盘读IOPS(IO/s),主机磁盘写IOPS(IO/s),主机平均内存使用率(%),物理机入向平均网络利用率(包括主备网卡)(%),物理机出向平均网络利用率(包括主备网卡)(%),主机Hypervisor进程CPU利用率(%),主机Hypervisor内存使用率(%),主机平均磁盘使用率(%),主机磁盘平均读时延(ms),主机磁盘平均写时延(ms)
2023-01-18 07:00:00,2023-01-18 07:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.79,0.02,3.2666,90.5957,0.0063,0.0422,2.83,9.73,6.8067,0.0,0.08
2023-01-18 06:55:00,2023-01-18 07:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.76,0.0233,2.4934,90.5937,0.0057,0.0396,2.65,9.86,6.8067,0.29,0.04
2023-01-18 06:50:00,2023-01-18 06:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.23,0.0233,2.6233,90.5949,0.0037,0.0779,2.81,9.86,6.8017,0.29,0.03
2023-01-18 06:45:00,2023-01-18 06:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.37,0.02,2.5668,90.594,0.0154,0.0493,2.64,9.86,6.8017,0.17,0.04
2023-01-18 06:40:00,2023-01-18 06:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.51,0.0233,2.8129,90.5927,0.004,0.0417,2.35,9.75,6.8017,0.0,0.05
2023-01-18 06:35:00,2023-01-18 06:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.36,0.0233,6.6535,90.5943,0.005,0.0498,2.49,9.78,6.8017,0.0,0.47
2023-01-18 06:30:00,2023-01-18 06:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.4,0.02,2.5068,90.5928,0.0062,0.0463,2.51,9.83,6.8067,0.0,0.03
2023-01-18 06:25:00,2023-01-18 06:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.45,0.0233,2.4499,90.5915,0.0071,0.0408,2.58,9.75,6.8067,0.0,0.04
2023-01-18 06:20:00,2023-01-18 06:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.29,0.0233,2.6265,90.5935,0.0048,0.0471,2.66,9.75,6.8017,0.0,0.06
2023-01-18 06:15:00,2023-01-18 06:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.78,0.02,2.57,90.5919,0.0047,0.0418,2.49,9.75,6.8017,0.0,0.06
2023-01-18 06:10:00,2023-01-18 06:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.13,0.0233,2.7934,90.5927,0.0053,0.0338,2.4,9.75,6.8017,0.14,0.03
2023-01-18 06:05:00,2023-01-18 06:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.03,0.0233,6.4664,90.5918,0.0053,0.0408,2.45,9.74,6.8017,0.0,0.05
2023-01-18 06:00:00,2023-01-18 06:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.95,0.02,3.3766,90.5955,0.0081,0.0501,2.67,9.75,6.8017,0.0,0.14
2023-01-18 05:55:00,2023-01-18 06:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.77,0.0233,2.5271,90.5928,0.0075,0.0451,2.5,9.86,6.8017,0.29,0.03
2023-01-18 05:50:00,2023-01-18 05:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.82,0.0233,2.6764,90.5943,0.0064,0.0448,2.74,9.86,6.8017,0.0,0.03
2023-01-18 05:45:00,2023-01-18 05:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.89,0.02,2.53,90.5942,0.0062,0.0358,2.36,9.83,6.7967,0.0,0.05
2023-01-18 05:40:00,2023-01-18 05:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,20.97,0.0233,2.5265,90.5945,0.0056,0.0366,2.31,9.83,6.7967,0.29,0.04
2023-01-18 05:35:00,2023-01-18 05:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.5,0.0233,8.1938,90.5951,0.0261,0.0513,2.36,9.86,6.7967,0.29,5.22
2023-01-18 05:30:00,2023-01-18 05:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,20.99,0.02,2.6332,90.5919,0.0112,0.035,2.24,9.75,6.8218,0.33,0.03
2023-01-18 05:25:00,2023-01-18 05:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.25,0.0233,2.5536,90.5914,0.0274,0.0639,2.36,9.79,6.8218,0.0,0.04
2023-01-18 05:20:00,2023-01-18 05:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.69,0.0233,2.6532,90.5949,0.0878,0.1277,2.79,9.81,6.8218,0.0,0.02
2023-01-18 05:15:00,2023-01-18 05:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.8,0.02,2.6266,90.5951,0.0824,0.0919,2.64,9.82,6.8218,0.0,0.03
2023-01-18 05:10:00,2023-01-18 05:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.23,0.0233,2.4968,90.5933,0.5003,0.0418,2.94,9.82,6.8168,0.0,0.05
2023-01-18 05:05:00,2023-01-18 05:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.81,0.0233,6.4865,90.5953,0.5783,0.0372,2.85,9.78,6.8168,0.14,0.06
2023-01-18 05:00:00,2023-01-18 05:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.34,0.02,3.2665,90.5955,0.3967,0.0391,2.77,9.9,6.8168,0.0,0.15
2023-01-18 04:55:00,2023-01-18 05:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.21,0.0233,2.5601,90.5941,0.1763,0.1376,2.91,9.8,6.8168,0.14,0.03
2023-01-18 04:50:00,2023-01-18 04:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.39,0.0233,2.6432,90.5947,0.0203,0.0959,2.93,9.8,6.8168,0.0,0.05
2023-01-18 04:45:00,2023-01-18 04:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.26,0.02,2.6871,90.5917,0.0186,0.0568,2.64,9.72,6.8168,0.0,0.04
2023-01-18 04:40:00,2023-01-18 04:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.16,0.0233,2.5631,90.5923,0.0429,0.0601,2.58,9.71,6.8168,0.29,0.04
2023-01-18 04:35:00,2023-01-18 04:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.02,0.0233,6.4231,90.5923,0.0694,0.0433,2.46,9.72,6.8118,0.0,0.05
2023-01-18 04:30:00,2023-01-18 04:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.37,0.02,2.4866,90.5911,0.1801,0.0414,2.52,9.71,6.8118,0.0,0.04
2023-01-18 04:25:00,2023-01-18 04:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.18,0.0233,2.5833,90.5908,0.5596,0.0499,2.39,9.72,6.8118,0.0,0.04
2023-01-18 04:20:00,2023-01-18 04:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.91,0.0233,2.6099,90.5918,1.048,0.0582,2.76,9.73,6.8118,0.14,0.04
2023-01-18 04:15:00,2023-01-18 04:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.51,0.02,2.5735,90.5909,1.0466,0.0542,2.72,9.71,6.8118,0.0,0.04
2023-01-18 04:10:00,2023-01-18 04:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,21.71,0.0233,2.6366,90.5915,1.5067,0.0603,2.95,9.69,6.8118,0.0,0.04
2023-01-18 04:05:00,2023-01-18 04:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,22.09,0.0233,6.5876,90.5927,1.4,0.5364,2.98,9.71,6.8067,0.14,0.05
2023-01-18 04:00:00,2023-01-18 04:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.84,0.02,3.2828,90.5928,0.7421,0.4399,3.17,9.71,6.8067,0.33,0.12
2023-01-18 03:55:00,2023-01-18 04:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,17.8,0.0233,2.6566,90.5931,1.0415,0.0621,2.11,9.81,6.8067,0.0,0.05
2023-01-18 03:50:00,2023-01-18 03:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,19.84,0.0233,2.5335,90.5943,0.4027,0.106,2.0,9.81,6.8067,0.14,0.04
2023-01-18 03:45:00,2023-01-18 03:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.8,0.02,2.47,90.5949,0.1878,0.0727,2.85,9.8,6.8067,0.17,0.06
2023-01-18 03:40:00,2023-01-18 03:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.12,0.0233,2.6768,90.5942,0.038,0.17,2.66,10.11,6.8067,0.0,0.04
2023-01-18 03:35:00,2023-01-18 03:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.08,0.0233,6.7597,90.5946,0.0182,0.2567,2.79,9.81,6.8017,0.0,0.06
2023-01-18 03:30:00,2023-01-18 03:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.88,0.02,2.6833,90.5943,0.0385,0.2054,2.86,9.85,6.8017,0.0,0.04
2023-01-18 03:25:00,2023-01-18 03:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.15,0.0233,2.5269,90.5944,0.1046,0.294,2.84,9.79,6.8017,0.0,0.03
2023-01-18 03:20:00,2023-01-18 03:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.73,0.0233,2.6932,90.5945,0.0384,0.2179,2.85,9.81,6.8017,0.0,0.04
2023-01-18 03:15:00,2023-01-18 03:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.12,0.02,2.6368,90.5924,0.0734,0.2252,2.91,9.74,6.8017,0.17,0.03
2023-01-18 03:10:00,2023-01-18 03:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.18,0.0233,2.4364,90.5926,0.0171,0.1929,2.83,9.73,6.8017,0.0,0.03
2023-01-18 03:05:00,2023-01-18 03:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.23,0.0233,6.6204,90.5928,0.0165,0.1664,2.86,9.7,6.8017,0.0,0.06
2023-01-18 03:00:00,2023-01-18 03:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.69,0.02,3.2632,90.593,0.0602,0.1819,3.01,9.7,6.7967,0.0,0.12
2023-01-18 02:55:00,2023-01-18 03:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.35,0.0233,2.4632,90.592,0.0473,0.2662,2.83,9.73,6.7967,0.0,0.04
2023-01-18 02:50:00,2023-01-18 02:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.48,0.0233,2.59,90.5923,0.0361,0.2406,2.81,9.7,6.7967,0.43,0.05
2023-01-18 02:45:00,2023-01-18 02:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.51,0.02,2.5303,90.5934,0.2879,0.2331,3.06,9.7,6.7967,0.0,0.05
2023-01-18 02:40:00,2023-01-18 02:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.7,0.0233,2.783,90.5931,0.5891,0.2443,2.8,9.7,6.7967,0.0,0.05
2023-01-18 02:35:00,2023-01-18 02:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.12,0.0233,6.5236,90.5925,0.5321,0.2217,2.81,9.69,6.7967,0.0,0.05
2023-01-18 02:30:00,2023-01-18 02:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.57,0.02,2.69,90.592,0.4469,0.19,2.91,9.69,6.7916,0.0,0.03
2023-01-18 02:25:00,2023-01-18 02:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.16,0.0233,2.5403,90.5922,0.5012,0.2768,3.01,9.76,6.8168,0.0,0.03
2023-01-18 02:20:00,2023-01-18 02:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,26.07,0.0233,2.5231,90.5937,0.4392,0.1827,3.17,9.8,6.8168,0.14,0.04
2023-01-18 02:15:00,2023-01-18 02:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.64,0.02,2.6668,90.5943,0.3611,0.2172,2.9,9.77,6.8168,0.0,0.04
2023-01-18 02:10:00,2023-01-18 02:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.98,0.0233,2.56,90.5931,0.5492,0.2371,2.99,9.7,6.8168,0.0,0.04
2023-01-18 02:05:00,2023-01-18 02:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.81,0.0233,6.6432,90.5942,0.196,0.2212,3.08,9.81,6.8168,0.14,0.06
2023-01-18 02:00:00,2023-01-18 02:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.46,0.02,3.4432,90.596,0.0295,0.2192,3.25,9.77,6.8118,0.17,0.12
2023-01-18 01:55:00,2023-01-18 02:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.11,0.0233,2.5533,90.594,0.0453,0.1986,3.09,9.78,6.8118,0.14,0.04
2023-01-18 01:50:00,2023-01-18 01:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.03,0.0233,2.8866,90.5937,0.0438,0.2051,3.02,9.69,6.8118,0.14,0.04
2023-01-18 01:45:00,2023-01-18 01:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.14,0.02,2.6602,90.5924,0.0871,0.2711,2.99,9.75,6.8118,0.0,0.04
2023-01-18 01:40:00,2023-01-18 01:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.49,0.0233,2.5865,90.5922,0.2429,0.2025,3.17,9.76,6.8118,0.0,0.05
2023-01-18 01:35:00,2023-01-18 01:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.53,0.0233,6.5069,90.5938,0.361,0.1595,3.2,9.75,6.8118,0.0,0.05
2023-01-18 01:30:00,2023-01-18 01:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.67,0.02,2.5166,90.5937,0.6403,0.156,3.29,9.75,6.8067,0.0,0.03
2023-01-18 01:25:00,2023-01-18 01:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.22,0.0233,2.6367,90.5938,0.6897,0.1942,3.24,9.77,6.8067,0.0,0.04
2023-01-18 01:20:00,2023-01-18 01:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.83,0.0233,2.4464,90.594,0.5605,0.1814,3.14,9.74,6.8067,0.29,0.04
2023-01-18 01:15:00,2023-01-18 01:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.48,0.02,2.4635,90.5922,0.5843,0.1815,3.26,9.71,6.8067,0.17,0.06
2023-01-18 01:10:00,2023-01-18 01:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.49,0.0233,2.4597,90.5938,0.6916,0.1848,3.09,9.75,6.8067,0.0,0.05
2023-01-18 01:05:00,2023-01-18 01:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.09,0.0233,6.5635,90.5937,0.4079,0.1401,3.35,9.74,6.8067,0.0,0.06
2023-01-18 01:00:00,2023-01-18 01:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.95,0.02,3.2134,90.5934,0.0524,0.1626,3.4,9.73,6.8067,0.0,0.09
2023-01-18 00:55:00,2023-01-18 01:00:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.37,0.0233,2.5266,90.592,0.0509,0.1563,3.15,9.64,6.8017,0.0,0.03
2023-01-18 00:50:00,2023-01-18 00:55:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.27,0.0233,2.5933,90.5924,0.6306,1.3115,3.11,9.67,6.8017,0.0,0.05
2023-01-18 00:45:00,2023-01-18 00:50:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.33,0.02,2.5502,90.5921,0.4872,1.0333,2.92,9.66,6.8017,0.0,0.04
2023-01-18 00:40:00,2023-01-18 00:45:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,23.63,0.0233,2.6001,90.5921,0.4981,0.975,3.04,9.65,6.8017,0.0,0.04
2023-01-18 00:35:00,2023-01-18 00:40:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.25,0.0233,6.4494,90.5922,0.6881,1.4329,3.31,9.68,6.8017,0.14,0.05
2023-01-18 00:30:00,2023-01-18 00:35:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.24,0.02,2.6402,90.5919,0.6225,1.3615,3.44,9.64,6.8017,0.0,0.04
2023-01-18 00:25:00,2023-01-18 00:30:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.53,0.0233,2.713,90.5924,0.6766,1.5028,3.3,9.64,6.7967,0.0,0.04
2023-01-18 00:20:00,2023-01-18 00:25:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.71,0.0233,2.6335,90.5926,0.6266,1.0237,3.47,9.65,6.7967,0.14,0.03
2023-01-18 00:15:00,2023-01-18 00:20:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,25.58,0.02,2.6533,90.5931,0.1983,0.2106,3.02,9.66,6.7967,0.0,0.04
2023-01-18 00:10:00,2023-01-18 00:15:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.79,0.0233,2.6265,90.5936,0.1115,0.1682,3.11,9.72,6.7967,0.0,0.15
2023-01-18 00:05:00,2023-01-18 00:10:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.04,0.0233,6.603,90.5943,0.0682,0.1282,3.01,9.73,6.8218,0.0,0.06
2023-01-18 00:00:00,2023-01-18 00:05:00,5 分钟,XAR03,12501ca8-4ddb-3da6-b0fa-e698f31c7b00,computer-b0503-01,24.55,0.02,3.2068,90.5944,0.0588,0.137,3.1,9.72,6.8218,0.0,0.13
